mID,mName
600,무기 복구 주문서
601,방어구 복구 주문서
602,장신구 복구 주문서
603,무료 경험치 복구 주문서
610,무기 복구 주문서[이벤트]
611,방어구 복구 주문서[이벤트]
612,장신구 복구 주문서[이벤트]
620,마력의 무기 복구 주문서
621,마력의 방어구 복구 주문서
622,마력의 장신구 복구 주문서
630,마력의 무기 복구 주문서[이벤트]
631,마력의 방어구 복구 주문서[이벤트]
632,마력의 장신구 복구 주문서[이벤트]
700,장비 각인석
701,축복받은 장비 각인석
702,장비 각인석[이벤트]
703,축복받은 장비 각인석[이벤트]
720,장비 각인석
721,축복받은 장비 각인석
900,캐릭터 슬롯 확장권
901,캐릭터 서버 이전권
902,길드 이름 변경권
920,변신 포인트 충전석[일반]
921,변신 포인트 충전석[고급]
922,변신 포인트 충전석[희귀]
923,변신 포인트 충전석[영웅]
924,변신 포인트 충전석[전설]
925,서번트 포인트 충전석[일반]
926,서번트 포인트 충전석[고급]
927,서번트 포인트 충전석[희귀]
928,서번트 포인트 충전석[영웅]
929,서번트 포인트 충전석[전설]
930,변신 합성 포인트 획득권[영웅]
931,변신 합성 포인트 획득권[전설]
935,서번트 합성 포인트 획득권[영웅]
936,서번트 합성 포인트 획득권[전설]
940,매터리얼 합성 포인트 획득권[영웅]
941,매터리얼 합성 포인트 획득권[전설]
942,매터리얼 합성 포인트 획득권[초월]
950,길드 코인
951,명예 코인
952,로얄 코인
953,룰렛 코인
954,환영의 결정
980,다이아몬드
981,마일리지
999,골드
1001,토끼 가죽
1002,머맨 비늘
1003,뿔거북 두꺼비 사체
1004,기네아 크랩 집게발
1005,와이번 발톱
1006,수상한 흔적
1007,그렘린 정착민의 자루
1008,묵직한 주머니
1009,연약한 픽시 날개
1010,고블린 도굴꾼 주머니
1011,짐승 가죽
1012,고블린 이빨
1013,고블린 귀
1014,마물의 간
1015,벌목꾼 장부
1016,놀 머리털
1017,놀 투구
1018,놀 손톱
1019,머맨 무기
1020,머맨 물갈퀴
1021,트롤 방패
1022,코볼트 철모
1023,거미알
1024,거미 다리
1025,푸리에영주 흔적1
1026,푸리에영주 흔적2
1027,푸리에영주 흔적3
1028,푸리에영주 흔적4
1029,어린 트로글다이트의 무기
1030,실종된 사람들의 흔적1
1031,실종된 사람들의 흔적2
1032,병사들의 흔적
1033,회복중인 픽시의 가루
1034,임프의 날개
1035,갈기 멧돼지의 엄니
1036,기라카메로의 뿔
1037,작은 숲라미아의 알
1038,숲거미의 알
1039,작은 숲라미아의 독니
1040,하피의 깃털
1041,파괴된 결계석
1042,병사들의 흔적2
1043,유품
1044,사나운 잿빛 늑대의 가죽
1045,고립된 놀 경비병의 무기
1046,사나운 잿빛 늑대 고기
1047,트롤 경비병의 무기
1048,마물들이 훔친 목재
1049,머맨 경비병의 가시
1050,블랙랜드 영주의 일지1
1051,블랙랜드 영주의 일지2
1052,블랙랜드 영주의 일지3
1053,수상한 밀서
1054,부서진 갑옷 조각
1055,알 수 없는 조각
1056,전투 멧돼지 고기
1057,감독관 일지
1058,벌목지 일지 - 1
1059,벌목지 일지 - 2
1060,징벌 너구리의 가죽
1061,코볼트 가죽
1062,저주의 흔적
1063,귀족 픽시의 날개 가루
1064,만드라고라의 뿌리
1065,밀림라미아의 알
1066,프테라노돈의 날개 살
1067,바실리스크의 고기
1068,저주의 문헌 - 1
1069,저주의 문헌 - 2
1070,저주의 문헌 - 3
1071,거친 황야의 전리품
1072,거친 황야 마물의 발톱
1073,라이칸스로프 감시자의 활
1074,라이칸스로프 강습병의 검
1075,라이칸스로프의 발톱
1076,노역자들의 유품 - 1
1077,노역자들의 유품 - 2
1078,노역자들의 유품 - 3
1079,거대 전갈고기
1080,불도마뱀 꼬리
1081,땅도마뱀 고기
1082,맨티코어의 날개
1083,자라탄 등껍질
1084,자라탄 고기
1085,자라탄 등뼈
1086,트랜트의 가지
1087,로덴 영주의 흔적 - 1
1088,로덴 영주의 흔적 - 2
1089,로덴 영주의 흔적 - 3
1090,로덴 영주의 마차 흔적 - 1
1091,로덴 영주의 마차 흔적 - 2
1092,로덴 영주의 마차 흔적 - 3
1093,켈베로스 고기
1094,식료품
1095,코볼트들의 병기
1096,혼돈의 조각
1097,미노타우르스의 가죽
1098,수상한 쪽지
1099,암흑 사제단의 지령
1100,찢어진 지령 - 1
1101,찢어진 지령 - 2
1102,찢어진 지령 - 3
1103,질서의 조각
1104,벨제뷔트의 일지 - 1
1105,벨제뷔트의 일지 - 2
1106,벨제뷔트의 일지 - 3
1107,암흑 사제단의 흔적
1108,사악한 기운
1109,타락한 플린드 영혼
1110,현자 벨제뷔트의 흔적
1111,딱정벌레의 표본
1112,말벌의 표본
1113,해적의 일기 1편
1114,해적의 일기 2편
1115,암흑 마력의 흔적
1116,빨간 솜털 모자
1117,빨간 양말
1118,호랑가시나무 열매
1119,지팡이 모양의 사탕
1120,찢어진 종이
1121,디에고 2세의 일기
1122,디에고 2세의 마지막 일기
2500,장인의 희귀 제작 비급서 
2501,장인의 희귀 무기 제작 비급서 
2502,장인의 희귀 방어구 제작 비급서 
2503,장인의 희귀 장신구 제작 비급서 
2510,장인의 영웅 제작 비급서 
2511,장인의 영웅 무기 제작 비급서 
2512,장인의 영웅 방어구 제작 비급서 
2513,장인의 영웅 장신구 제작 비급서 
2520,장인의 전설 제작 비급서 
2521,장인의 전설 무기 제작 비급서 
2522,장인의 전설 방어구 제작 비급서 
2523,장인의 전설 장신구 제작 비급서 
2531,장인의 초월 무기 제작 비급서
2600,장인의 희귀 제작 비급서 조각
2601,장인의 희귀 무기 제작 비급서 조각
2602,장인의 희귀 방어구 제작 비급서 조각
2603,장인의 희귀 장신구 제작 비급서 조각
2610,장인의 영웅 제작 비급서 조각
2611,장인의 영웅 무기 제작 비급서 조각
2612,장인의 영웅 방어구 제작 비급서 조각
2613,장인의 영웅 장신구 제작 비급서 조각
2620,장인의 전설 제작 비급서 조각
2621,장인의 전설 무기 제작 비급서 조각
2622,장인의 전설 방어구 제작 비급서 조각
2623,장인의 전설 장신구 제작 비급서 조각
2631,장인의 초월 무기 제작 비급서 조각
2701,이크론의 수호석
2702,로키의 행운석
2901,희귀 변신 확정 뽑기권 조각
2902,희귀 서번트 확정 뽑기권 조각
2903,희귀 매터리얼 확정 상자 제작서
2904,강화된 수호의 팔찌 상자 제작서
2905,강화된 파괴의 가면 상자 제작서
2906,강화된 생명의 금관 상자 제작서
2907,강화된 숙련의 나팔 상자 제작서
2908,강화된 영혼의 부적 상자 제작서
2909,강화된 극복의 성배 상자 제작서
2910,전리품 상자 제작서
2911,강화된 전리품 상자 제작서
2912,영웅 매터리얼 확정 상자 제작서
3000,가죽
3001,고급 가죽
3002,최고급 가죽
3010,천
3011,고급 천
3012,최고급 천
3020,철
3021,고급 철
3022,최고급 철
3030,보석
3031,고급 보석
3032,최고급 보석
3040,목재
3041,고급 목재
3042,최고급 목재
3050,흩어진 시간의 파편 : 메테오스의 탑
3051,흩어진 시간의 파편 : 필드 던전
3052,흩어진 시간의 파편 : 발레포르 던전
3053,흩어진 시간의 파편 : 원시해적의 동굴
3054,흩어진 시간의 파편 : 엘테르 던전
3055,흩어진 시간의 파편 : 만월의 유적지
3063,메테오스의 흔적
3064,푸리에 인장
3065,블랙랜드 인장
3066,바이런 인장
3067,로덴 인장
3100,이계의 기운
3200,태초의 흔적
3201,고대의 기억
3300,어둠의 영혼석
3350,지상신의 징표
3351,천상신의 징표
3430,의문의 제작 비급서 조각#1
3431,의문의 제작 비급서 조각#2
3432,의문의 제작 비급서 조각#3
3440,봉인된 유피테르의 계약서
3441,봉인된 선장의 망토
3442,봉인된 해적의 망토
3443,봉인된 주술사의 망토
3444,봉인된 암살자의 자마다르
3445,봉인된 크리스?
3446,봉인된 암살단의 망토
3447,봉인된 심연의 화염 투구
3448,봉인된 심연의 바람 투구
3449,봉인된 심연의 현자 투구
3450,봉인된 심연의 그림자 면갑
3451,봉인된 심연의 화염 갑옷
3452,봉인된 심연의 바람 갑옷
3453,봉인된 심연의 현자 갑옷
3454,봉인된 심연의 그림자 갑옷
3455,봉인된 심연의 화염 장갑
3456,봉인된 심연의 바람 장갑
3457,봉인된 심연의 현자 장갑
3458,봉인된 심연의 그림자 장갑
3459,봉인된 심연의 화염 부츠
3460,봉인된 심연의 바람 부츠
3461,봉인된 심연의 현자 부츠
3462,봉인된 심연의 그림자 부츠
3463,봉인된 심연의 화염 망토
3464,봉인된 심연의 바람 망토
3465,봉인된 심연의 현자 망토
3466,봉인된 심연의 그림자 망토
3467,봉인된 심연의 화염 방패
3468,봉인된 심연의 화염 가더
3469,봉인된 심연의 바람 가더
3470,봉인된 심연의 현자 가더
3471,봉인된 심연의 그림자 가더
3500,오래된 동전
3502,향상된 이크론의 코인
3503,정련된 이크론의 코인
3600,발레포르 증표
3601,상급 발레포르 증표
3602,최상급 발레포르 증표
3800,마력의 티끌
3801,응축된 심연의 기운
3802,황천의 근원
3803,유게네스의 기억
3804,헤라켄의 기억
3805,가이아스의 기억
3806,벨제뷔트의 기억
3901,의문의 열쇠 조각
3902,황금 열쇠
3903,잠겨진 고대 해적의 보물 상자
4000,하드히트 마법서
4001,파워브레이크 마법서
4002,페인킬러 마법서
4004,버서크 마법서
4005,매직 이뮤니티 마법서
4006,앤듀랜스 마법서
4007,최후의 저항 마법서
4008,아머 크러쉬 마법서
4009,숙련된 방어 마법서
4010,트리플 히트 마법서
4011,카운터 마법서
4100,에임드 샷 마법서
4101,소닉 베리어 마법서
4102,이그나이트 샷 마법서
4103,부스트 마법서
4104,아머 브레이크 마법서
4105,트리플 어택 마법서
4106,포지션 락 마법서
4107,웨폰 마스터리 마법서
4108,견제 마법서
4109,그랩 샷 마법서
4110,헤드 샷 마법서
4200,소울 스트라이크 마법서
4201,멘탈 포스 마법서
4202,포이즌 클라우드 마법서
4203,파티 힐 마법서
4204,익스체인지 블러드 마법서
4205,마나 실드 마법서
4206,웹 마법서
4207,디스펠 매직 마법서
4208,신의 기도 마법서
4210,마나게더 마법서
4211,블레스[마법] 마법서
4212,아이스 스톰 마법서
4213,라이트닝 콜 마법서
4214,플레임 스트라이크 마법서
4215,커버링 마법서
4220,둠 터치 마법서
4221,블레스[마검] 마법서
4222,커즈 마법서
4223,소드마스터 마법서
4224,마나 컨버젼 마법서
4225,데스퍼레이트 마법서
4300,모탈 블로우 마법서
4301,덱스터리티 마법서
4302,베놈 마법서
4303,스캠퍼 마법서
4304,스운 마법서
4305,이베이전 마법서
4306,포이즌 블로우 마법서
4307,인비지빌리티 마법서
4308,트리플 크러쉬 마법서
4309,불멸 마법서
4310,킬 온 사이트 마법서
4506,앤듀랜스 마법서 조각
4507,최후의 저항 마법서 조각
4510,트리플 히트 마법서 조각
4511,카운터 마법서 조각
4605,트리플 어택 마법서 조각
4606,포지션 락 마법서 조각
4609,그랩 샷 마법서 조각
4610,헤드 샷 마법서 조각
4706,웹 마법서 조각
4707,디스펠 매직 마법서 조각
4708,신의 기도 마법서 조각
4710,마나게더 마법서 조각
4711,블레스[마법] 마법서 조각
4712,아이스 스톰 마법서 조각
4713,라이트닝 콜 마법서 조각
4714,플레임 스트라이크 마법서 조각
4715,커버링 마법서 조각
4724,마나 컨버젼 마법서 조각
4725,데스퍼레이트 마법서 조각
4726,인비지빌리티 마법서 조각
4727,트리플 크러쉬 마법서 조각
4728,불멸 마법서 조각
4729,킬 온 사이트 마법서 조각
4800,나이트 영웅 스킬북 조각
4801,아처 영웅 스킬북 조각
4802,위저드 영웅 스킬북 조각
4803,어쌔신 영웅 스킬북 조각
4810,나이트 전설 스킬북 조각
4811,아처 전설 스킬북 조각
4812,위저드 전설 스킬북 조각
4813,어쌔신 전설 스킬북 조각
4900,마나 리제네레이션 마법서
4901,헤이스트 마법서
4902,스톤 스킨 마법서
4903,웨이트 익스텐션 마법서
4904,큐어 포이즌 마법서
4905,텔레포트 마법서
5001,레프리컨 변신 주문서
5002,다크 나이트 변신 주문서
5003,몽크 마스터 변신 주문서
5004,메타트론 아처 변신 주문서
5005,인페르노 변신 주문서
5006,데빌헌터 변신 주문서
5007,코볼트 변신 주문서
5008,하피 변신 주문서
5009,인퍼날 변신 주문서
5010,버서커 변신 주문서
5011,가고일 변신 주문서
5012,데몬 스토커 변신 주문서
5013,캐노네이드 키틴 변신 주문서
5014,데몬 변신 주문서
5015,래서 아스타로트 변신 주문서
5016,드래곤 나이트 변신 주문서
5017,노아스 변신 주문서
5018,엘라임 변신 주문서
5019,크루얼 크루세이더 변신 주문서
5020,퓨리 변신 주문서
5021,광휘의 엘윈더 변신 주문서
5022,수호자 엘리엇 변신 주문서
5023,래서 루시퍼 변신 주문서
5024,드래곤 나이트 아처 변신 주문서
5025,님로드 크루세이더 변신 주문서
5026,광휘의 엘로라 변신 주문서
5027,파이어 데몬 변신 주문서
5028,슈리엘 변신 주문서
5029,네크로맨서 변신 주문서
5030,쉐이드 웨폰 변신 주문서
5031,메타트론 변신 주문서
5032,아폴론 변신 주문서
5033,이프리트 변신 주문서
5034,아르테미스 변신 주문서
5035,다크 스팅어 변신 주문서
5036,엘더 스팅어 변신 주문서
5037,인페르노 아처 변신 주문서
5038,놀 병사 변신 주문서
5039,오크 변신 주문서
5040,그렘린 변신 주문서
5041,홉 고블린 변신 주문서
5042,용아병 변신 주문서
5043,좀비 변신 주문서
5044,버섯돌이 변신 주문서
5045,콜로복 변신 주문서
5046,선인장 변신 주문서
5047,갈색 곰 변신 주문서
5048,놀 아처 변신 주문서
5049,코볼트 아처 변신 주문서
5050,뱀파이어 킹 변신 주문서
5051,뱀파이어 퀸 변신 주문서
5052,데빌 변신 주문서
5053,스켈레톤 나이트 변신 주문서
5054,뮤 변신 주문서
5055,노움 변신 주문서
5056,오크 전사 변신 주문서
5057,트롤 변신 주문서
5058,루움 변신 주문서
5059,본보우 아크리언 변신 주문서
5060,메테오스 레인저 변신 주문서
5061,임프 변신 주문서
5062,시아페 변신 주문서
5063,골든 엠페러 변신 주문서
5064,레이커 변신 주문서
5065,타락한 엘프 변신 주문서
5066,데드마스터 변신 주문서
5067,문라이트 네메시스 변신 주문서
5068,가이아 변신 주문서
5069,수호자 엘리시스 변신 주문서
5070,골든 엠페러 아처 변신 주문서
5071,타락한 엘프 아처 변신 주문서
5072,데드마스터 아처 변신 주문서
5073,스핀들 네메시스 변신 주문서
5074,가이아 거너 변신 주문서
5075,듀라한 변신 주문서
5076,크로노스 변신 주문서
5077,오페르시나 변신 주문서
5078,크로노스 아처 변신 주문서
5079,오페르시나 아처 변신 주문서
5080,비숍 변신 주문서
5081,에리스 변신 주문서
5082,발키리 변신 주문서
5083,식인늑대 변신 주문서
5084,리자드맨 변신 주문서
5085,군 변신 주문서
5086,벌거숭이 군 변신 주문서
5087,청개구리 변신 주문서
5088,괴물게 변신 주문서
5089,뱅갈 나이트 변신 주문서
5090,바바야가 변신 주문서
5091,메테오스 쉐도우 변신 주문서
5092,트로글다이트 변신 주문서
5093,곰인형 변신 주문서
5094,문엘프 전사 변신 주문서
5095,문엘프 마법사 변신 주문서
5096,미드나잇 셀린느 변신 주문서
5097,캡틴 라이칸 변신 주문서
5098,프린세스 변신 주문서
5099,차크람 소녀 변신 주문서
5100,체인 인큐버스 변신 주문서
5101,헌터 노바 변신 주문서
5102,길가메쉬 나이트 변신 주문서
5103,길가메쉬 아처 변신 주문서
5104,바바리안 변신 주문서
5105,에리세드 변신 주문서
5106,아스모데우스 변신 주문서
5107,글래디에이터 변신 주문서
5108,아크데몬 변신 주문서
5109,아수라 변신 주문서
5110,헤라클레스 변신 주문서
5111,라르카 집정관 변신 주문서
5112,리치 킹 변신 주문서
5113,황천의 기사 변신 주문서
5114,황천의 레인저 변신 주문서
5115,암살단 암흑 변신 주문서
5116,넵튠 변신 주문서
5117,넵튠 아처 변신 주문서
5118,암살단 칠흑 변신 주문서
5119,다크 메이지 변신 주문서
5120,네케브 변신 주문서
5121,바알베크의 사령관 변신 주문서
5122,유피테르의 사념 변신 주문서
5123,엘사라드 변신 주문서
5124,아바돈 변신 주문서
5125,아누비스 변신 주문서
5126,여신 칼리 변신 주문서
5127,센티넬 변신 주문서
5128,엠퍼사이저 변신 주문서
5129,인페르노 위저드 변신 주문서
5155,벨켄 변신 주문서
5156,벨리타 변신 주문서
5157,호텐 플로츠 변신 주문서
5158,각성한 라르카 변신 주문서
5159,스나이퍼 로즈레인 변신 주문서
5160,카오스 가디언 변신 주문서
5161,카를린 변신 주문서
5162,네드라스 변신 주문서
5163,바이스 변신 주문서
5164,메테오스의 가디언 변신 주문서
5165,메테오스의 귀부인 변신 주문서
5209,해적 여선장 변신 주문서
5210,수라 변신 주문서
5211,베놈리퍼 변신 주문서
5212,블랙 데빌리스 변신 주문서
5213,다크 어쌔신 변신 주문서
5214,오페르시나 어쌔신 변신 주문서
5215,메타트론 어쌔신 변신 주문서
5216,넵튠 슬레이어 변신 주문서
5217,암살단 일격 변신 주문서
5218,바알베크의 집행관 변신 주문서
5219,미드나잇 아르테미스 변신 주문서
5220,크리스 변신 주문서
5221,인페르노 어쌔신 변신 주문서
5222,삐에로 변신 주문서
5223,렉스 변신 주문서
5224,그룸프 변신 주문서
5225,캐서린 변신 주문서
5226,이자벨 변신 주문서
5227,카를로스 변신 주문서
5228,미드나잇 에르메스 변신 주문서
5229,제롬 변신 주문서
5230,휠카셀 변신 주문서
5231,아크 데빌리스 나이트 변신 주문서
5232,아크 엔젤리스 아처 변신 주문서
5233,아크 엔젤리스 위저드 변신 주문서
5234,아크 데빌리스 어쎄신 변신 주문서
5235,나이트 오브 퀸 변신 주문서
5236,나디아 변신 주문서
5237,타나토스 저격수 변신 주문서
5238,파이어 워크스 변신 주문서
5239,알버트 변신 주문서
5240,엘로이 변신 주문서
5241,마기 변신 주문서
5242,아레스 변신 주문서
5243,용 수호자 카발 변신 주문서
5244,용 수호자 엘리아 변신 주문서
5245,용 수호자 디트리오 변신 주문서
5246,용 수호자 셀라 변신 주문서
5247,메테오스 변신 주문서
5248,메테오스 아처 변신 주문서
5249,메테오스 위저드 변신 주문서
5250,메테오스 어쌔신 변신 주문서
5251,레오넬 변신 주문서
5252,아델리아 변신 주문서
5253,이안 변신 주문서
5254,팔란 변신 주문서
5255,시리아 변신 주문서
5256,디아나 변신 주문서
5257,트루디 변신 주문서
5258,로드 오브 아크리언 변신 주문서
5301,그리헨텔 변신 주문서
5321,그리헨텔 아처 변신 주문서
5341,그리헨텔 위저드 변신 주문서
5361,그리헨텔 어쌔신 변신 주문서
5500,다크 어쌔신 변신 주문서
5501,다크 나이트 변신 주문서
5502,다크 스팅어 변신 주문서
5503,다크 메이지 변신 주문서
5504,캡틴 라이칸 변신 주문서[15분]
5505,미드나잇 셀린느 변신 주문서[15분]
5506,헌터 노바 변신 주문서[15분]
5507,캡틴 라이칸 변신 주문서[15분]
5601,그리헨텔 변신 주문서[5분]
5602,그리헨텔 아처 변신 주문서[5분]
5603,그리헨텔 위저드 변신 주문서[5분]
5604,그리헨텔 어쌔신 변신 주문서[5분]
6000,봉인된 영혼석[희귀]
6001,영혼석[희귀] : 다크 나이트
6002,영혼석[희귀] : 다크 스팅어
6003,영혼석[희귀] : 발키리
6004,영혼석[희귀] : 엘더 스팅어
6005,영혼석[희귀] : 데빌헌터
6006,영혼석[희귀] : 여신 칼리
6007,영혼석[희귀] : 유피테르의 사념
6008,영혼석[희귀] : 크로노스
6009,영혼석[희귀] : 다크 메이지
6010,영혼석[희귀] : 넵튠
6011,영혼석[희귀] : 넵튠 아처
6012,영혼석[희귀] : 오페르시나
6013,영혼석[희귀] : 크로노스 아처
6014,영혼석[희귀] : 아폴론
6015,영혼석[희귀] : 아르테미스
6016,영혼석[희귀] : 오페르시나 아처
6017,영혼석[희귀] : 바알베크의 사령관
6018,영혼석[희귀] : 암살단 암흑
6019,영혼석[희귀] : 암살단 칠흑
6020,영혼석[희귀] : 엠퍼사이저
6021,영혼석[희귀] : 엔젤리스
6022,영혼석[희귀] : 데빌리스
6023,영혼석[희귀] : 네케브
6024,영혼석[희귀] : 센티넬
6025,영혼석[희귀] : 엘프리스
6026,영혼석[희귀] : 이프리트
6027,영혼석[희귀] : 듀라한
6028,영혼석[희귀] : 엘사라드
6029,영혼석[희귀] : 비숍
6030,영혼석[희귀] : 에리스
6031,영혼석[희귀] : 아누비스
6032,영혼석[희귀] : 메타트론 아처
6033,영혼석[희귀] : 메타트론
6034,영혼석[희귀] : 아바돈
6035,영혼석[희귀] : 수라
6036,영혼석[희귀] : 베놈리퍼
6037,영혼석[희귀] : 블랙 데빌리스
6038,영혼석[희귀] : 다크 어쌔신
6039,영혼석[희귀] : 오페르시나 어쌔신
6040,영혼석[희귀] : 메타트론 어쌔신
6041,영혼석[희귀] : 넵튠 슬레이어
6042,영혼석[희귀] : 암살단 일격
6043,영혼석[희귀] : 바알베크의 집행관
6044,영혼석[희귀] : 미드나잇 아르테미스
6045,영혼석[희귀] : 이자벨
6046,영혼석[희귀] : 휠카셀
6047,영혼석[희귀] : 카를로스
6048,영혼석[희귀] : 미드나잇 에르메스
6049,영혼석[희귀] : 제롬
6300,봉인된 영혼석[영웅]
6301,영혼석[영웅] : 다크 나이트
6302,영혼석[영웅] : 다크 스팅어
6303,영혼석[영웅] : 발키리
6304,영혼석[영웅] : 엘더 스팅어
6305,영혼석[영웅] : 데빌헌터
6306,영혼석[영웅] : 여신 칼리
6307,영혼석[영웅] : 유피테르의 사념
6308,영혼석[영웅] : 크로노스
6309,영혼석[영웅] : 다크 메이지
6310,영혼석[영웅] : 넵튠
6311,영혼석[영웅] : 넵튠 아처
6312,영혼석[영웅] : 오페르시나
6313,영혼석[영웅] : 크로노스 아처
6314,영혼석[영웅] : 아폴론
6315,영혼석[영웅] : 아르테미스
6316,영혼석[영웅] : 오페르시나 아처
6317,영혼석[영웅] : 바알베크의 사령관
6318,영혼석[영웅] : 암살단 암흑
6319,영혼석[영웅] : 암살단 칠흑
6320,영혼석[영웅] : 엠퍼사이저
6321,영혼석[영웅] : 엔젤리스
6322,영혼석[영웅] : 데빌리스
6323,영혼석[영웅] : 네케브
6324,영혼석[영웅] : 센티넬
6325,영혼석[영웅] : 엘프리스
6326,영혼석[영웅] : 이프리트
6327,영혼석[영웅] : 듀라한
6328,영혼석[영웅] : 엘사라드
6329,영혼석[영웅] : 비숍
6330,영혼석[영웅] : 에리스
6331,영혼석[영웅] : 아누비스
6332,영혼석[영웅] : 메타트론 아처
6333,영혼석[영웅] : 메타트론
6334,영혼석[영웅] : 아바돈
6335,영혼석[영웅] : 각성한 라르카
6336,영혼석[영웅] : 스나이퍼 로즈레인
6337,영혼석[영웅] : 카오스 가디언
6338,영혼석[영웅] : 수라
6339,영혼석[영웅] : 베놈리퍼
6340,영혼석[영웅] : 블랙 데빌리스
6341,영혼석[영웅] : 다크 어쌔신
6342,영혼석[영웅] : 오페르시나 어쌔신
6343,영혼석[영웅] : 메타트론 어쌔신
6344,영혼석[영웅] : 넵튠 슬레이어
6345,영혼석[영웅] : 암살단 일격
6346,영혼석[영웅] : 바알베크의 집행관
6347,영혼석[영웅] : 미드나잇 아르테미스
6348,영혼석[영웅] : 이자벨
6349,영혼석[영웅] : 휠카셀
6350,영혼석[영웅] : 카를로스
6351,영혼석[영웅] : 미드나잇 에르메스
6352,영혼석[영웅] : 제롬
6601,영혼석[영웅] : 인페르노
6602,영혼석[영웅] : 벨켄
6603,영혼석[영웅] : 인페르노 아처
6604,영혼석[영웅] : 벨리타
6605,영혼석[영웅] : 인페르노 위저드
6606,영혼석[영웅] : 호텐 플로츠
6607,영혼석[영웅] : 카를린
6608,영혼석[영웅] : 네드라스
6609,영혼석[영웅] : 바이스
6610,영혼석[영웅] : 크리스
6611,영혼석[영웅] : 인페르노 어쌔신
6612,영혼석[영웅] : 용 수호자 카발
6613,영혼석[영웅] : 용 수호자 엘리아
6614,영혼석[영웅] : 용 수호자 디트리오
6615,영혼석[영웅] : 용 수호자 셀라
6616,영혼석[영웅] : 아크 데빌리스 나이트
6617,영혼석[영웅] : 아크 엔젤리스 아처
6618,영혼석[영웅] : 아크 엔젤리스 위저드
6619,영혼석[영웅] : 아크 데빌리스 어쌔신
6700,봉인된 영혼석[전설]
6701,영혼석[전설] : 인페르노
6702,영혼석[전설] : 벨켄
6703,영혼석[전설] : 인페르노 아처
6704,영혼석[전설] : 벨리타
6705,영혼석[전설] : 인페르노 위저드
6706,영혼석[전설] : 호텐 플로츠
6707,영혼석[전설] : 카를린
6708,영혼석[전설] : 네드라스
6709,영혼석[전설] : 바이스
6710,영혼석[전설] : 크리스
6711,영혼석[전설] : 인페르노 어쌔신
6712,영혼석[전설] : 그리헨텔
6713,영혼석[전설] : 그리헨텔 아처
6714,영혼석[전설] : 그리헨텔 위저드
6715,영혼석[전설] : 그리헨텔 어쌔신
6716,영혼석[전설] : 용 수호자 카발
6717,영혼석[전설] : 용 수호자 엘리아
6718,영혼석[전설] : 용 수호자 디트리오
6719,영혼석[전설] : 용 수호자 셀라
6720,영혼석[전설] : 아크 데빌리스 나이트
6721,영혼석[전설] : 아크 엔젤리스 아처
6722,영혼석[전설] : 아크 엔젤리스 위저드
6723,영혼석[전설] : 아크 데빌리스 어쌔신
6724,영혼석[전설] : 메테오스
6725,영혼석[전설] : 메테오스 아처
6726,영혼석[전설] : 메테오스 위저드
6727,영혼석[전설] : 메테오스 어쌔신
6800,봉인된 영혼석[초월]
6801,영혼석[초월] : 그리헨텔
